Item,Quantity,Reference(s),Value,Description,Manufacturer Name,Manufacturer Part Number
1,9,"C1, C2, C6, C7, C26, C35, C50, C51, C52",10uF,CAP CER 10UF 6.3V X5R 0402,Murata,GRM155R60J106ME15D
2,2,"C3, C4",10pF,CAP CER 10PF 50V C0G/NP0 0201,Murata,GRM0335C1H100FA01J
3,5,"C5, C11, C12, C13, C15",2.2uF,CAP CER 2.2UF 10V X5R 0201,Murata,GRM033R61A225KE47D
4,22,"C9, C10, C19, C22, C23, C24, C25, C27, C28, C30, C38, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C53",0.1uF,CAP CER 0.1UF 25V X5R 0201,Murata,GRM033R61E104KE14J
5,2,"C14, C37",1uF,CAP CER 1UF 10V X5R 0201,Murata,GRM033R61A105ME15D
6,1,C16,4.7nF 100V,CAP CER 4700PF 100V X7R 0603,Murata,GCM188R72A472KA37D
7,3,"C17, C29, C36",4.7uF,CAP CER 4.7UF 6.3V X5R 0201,Murata,GRM035R60J475ME15D
8,2,"C18, C20",22pF,CAP CER 22PF 50V C0G/NP0 0201,Murata,GRM0335C1H220GA01D
9,1,D1,LXZ1-PB01,LED LUXEON Z BLUE 470NM SMD,Lumileds,LXZ1-PB01
10,2,"D2,D3",RED LED,LED RED CLEAR THIN 0603 SMD,Lite-On Inc.,LTST-C191KEKT
11,1,J1,475710001,CONN MICRO SD CARD PUSH-PULL R/A,Molex,475710001
12,2,"L1, L5",10uH,FIXED IND 10UH 300MA 600MOHM SMD,TDK,MLZ1608N100LT000
13,1,L2,4.7uH,FIXED IND 4.7UH 180MA 300MOHM SM,Abracon,ASMCI-0805-4R7M-T
14,2,"L3, L4",BLM18PG471SN1D,FERRITE BEAD 470 OHM 0603 1LN,Murata,BLM18PG471SN1D
15,1,Q1,NTK3134NT1G,Power MOSFET,ON Semiconductor,NTK3134NT1G
16,1,Q2,MMBT3904LP-7B,TRANS NPN 40V 0.2A DFN1006-3,Diodes Incorporated,MMBT3904LP-7B
17,2,"R1, R17",25K,RES SMD 24.9K OHM 1% 1/20W 0201,Vishay Dale,CRCW020124K9FNED
18,2,"R2, R18",1.8K,RES SMD 1.8K OHM 1% 1/20W 0201,Panasonic,ERJ-1GNF1801C
19,1,R3,1.25M,RES 1.27M OHM 1% 1/20W 0201,Vishay Dale,CRCW02011M27FNED
20,1,R4,2.05M,RES 2.05M OHM 1% 1/20W 0201,Vishay Dale,CRCW02012M05FNED
21,1,R5,1M,RES SMD 1M OHM 1% 1/20W 0201,Vishay Dale,CRCW02011M00FNED
22,1,R6,649K,RES SMD 649K OHM 1% 1/20W 0201,Vishay Dale,CRCW0201649KFNED
23,2,"R7, R8",2.2K,RES SMD 2.2K OHM 1% 1/20W 0201,Panasonic,ERJ-1GNF2201C
24,1,R9,8.2K,RES SMD 8.2K OHM 1% 1/20W 0201,Vishay Dale,CRCW02018K20FKED
25,1,R10,2K,RES SMD 2K OHM 1% 1/20W 0201,Vishay Dale,CRCW02012K00FNED
26,2,"R11, R19",1K,RES SMD 1K OHM 1% 1/20W 0201,Vishay Dale,CRCW02011K00FKED
27,1,R12,DNL,DNL,DNL,DNL
28,1,R13,400K,RES SMD 402K OHM 1% 1/20W 0201,Panasonic,ERJ-1GNF4023C
29,3,"R14, R16, R20",100K,RES SMD 100K OHM 1% 1/20W 0201,Panasonic,ERJ-1GNF1003C
30,1,R15,37K,RES SMD 37.4K OHM 1% 1/20W 0201,Panasonic,ERJ-1GNF3742C
31,1,R21,47k5,RES SMD 47.5K OHM 1% 1/20W 0201,Vishay Dale,CRCW020147K5FNED
32,1,R22,10K,RES SMD 1K OHM 1% 1/20W 0201,Vishay Dale,CRCW02011K00FKED
33,1,SW1,TL3780AF330QG,SWITCH TACTILE SPST-NO 0.02A 15V,E-Switch,TL3780AF330QG
34,1,U1,LTC3554,IC USB POWER MANAGER 20UTQFN,Analog Devices Inc.,LTC3554EUD#PBF
35,1,U2,HV892,IC LED DRIVER LENS 10WDFN,Microchip,HV892K7-G
36,1,U3,LTC3218,IC LED DRIVER RGLTR 150MA 10DFN,Analog Devices Inc.,LTC3218
37,1,U4,MAX13030EETE+BGA,IC TRNSLTR BIDIRECTIONAL 16TQFN,Maxim Integrated,MAX13030EETE+
38,1,U5,TSOP57438TT1,SENSOR REMOTE REC 38.0KHZ 40M,Vishay Semiconductor Opto Division,TSOP57438TT1
39,1,U6,ATSAMD51J20A-UUT-EFP,MCU 120MHZ 1024KB FLASH 64,Microchip,ATSAMD51J20A-UUT-EFP
40,1,U7,NCP163AMX330TBG,IC REG LINEAR 3.3V 250MA 4XDFN,onsemi,NCP163AMX330TBG
41,1,U8,NOIP1SN0480A,"IC CMOS IMAGE SENSOR 1/3.6""",onsemi,NOIP1SN0480A-STI1
42,1,U9,LMV321IDCKR,IC OPAMP GP 1 CIRCUIT SC70-5,Texas Instruments,LMV321IDCKR
43,1,J3,FH19C-4S-0.5SH,CONN FFC BOTTOM 4POS 0.5MM R/A,Hirose,FH19C-4S-0.5SH(10)
44,1,Y2,Crystal,CRYSTAL 32.7680KHZ 12.5PF SMD,TXC CORPORATION,9HT11-32.768KBZF-T
Total,91,,,,,
